config,anchor_id,gamma_cka,epsilon_kl,delta_lm,cka_scope,steps,asr_self,asr_anchor,asr_other,xstest,d_xstest,orbench,d_orbench,mtbench,d_mtbench,mmlu,d_mmlu,utility_cost,adapter_path
vicuna7b_f5b,Qwen/Qwen1.5-7B-Chat,2.0,0.4,0.03,harmful_only,200,0.0,0.0,1.0,15.6,6.0,52.2,24.2,5.71,0.04,50.0,,30.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_001243
vicuna_ab2_bn,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.6,0.06,benign_only,200,1.0,2.0,2.0,11.2,1.6,55.6,27.6,5.78,0.11,,,30.9,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_111930
vicuna_vb_e,Qwen1.5-7b,2.0,0.6,0.06,benign_only,200,1.0,2.0,2.0,11.2,1.6,55.6,27.6,5.78,0.11,,,30.9,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_013320
vicuna_vc_a,Qwen1.5-7b,2.5,0.6,0.06,benign_only,200,1.0,2.0,2.0,11.2,1.6,55.9,27.9,5.79,0.12,,,31.3,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_135115
vicuna7b_f5d,Qwen/Qwen1.5-7B-Chat,2.5,0.3,0.03,harmful_only,250,0.0,0.0,1.0,11.6,2.0,60.3,32.3,5.66,-0.01,,,34.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_004939
vicuna_ab2_ax,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.6,0.06,all,400,0.0,0.0,2.0,11.6,2.0,58.2,30.2,5.92,0.25,,,36.0,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_115715
vicuna_ab_hn,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.6,0.06,harmful_only,200,3.0,2.0,3.0,16.0,6.4,59.2,31.2,5.72,0.05,,,38.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_175131
vicuna_ab2_hn,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.6,0.06,harmful_only,200,2.0,3.0,3.0,14.4,4.8,58.8,30.8,5.88,0.21,,,38.7,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_105740
vicuna7b_f5c,Qwen/Qwen1.5-7B-Chat,3.0,0.4,0.03,harmful_only,200,0.0,0.0,1.0,18.8,9.2,62.5,34.5,5.81,0.14,50.0,,45.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_003059
vicuna_ab2_an,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.6,0.06,all,400,0.0,0.0,0.0,20.8,11.2,75.7,47.7,5.98,0.31,,,63.6,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_114431
