,llama2,llama3,vicuna,mistral,zephyr,hermes2,starling,openchat,gemma,phi2,qwen,yi,baichuan2,deepseek,internlm2,falcon,solar,orca2,neuralchat,stablelm
qwen,0.7607124027434261,0.7171185094815631,0.7695291731720908,0.12340001342450474,0.11636352818132194,0.11530057310221235,0.12284601152837553,0.12284601152837553,0.11660369927394397,0.8148792461535983,1.0,0.7872013403282626,0.8082304895601363,0.10132468076087807,0.14950789764274508,0.7480746672906494,0.13756434664936437,0.737302016122122,0.10747114763528301,0.7713964871116693
yi,0.7761007352274667,0.7597858493271198,0.8037662857808981,0.1234294307613805,0.12317700965403712,0.12784546612248754,0.13078497881717796,0.13078497881717796,0.10396133385825033,0.733849823757928,0.7872013403282626,1.0,0.8397556030185891,0.1024348239045695,0.1599840883752668,0.6952577649893384,0.1309260275614386,0.8194046909323196,0.10939878245581139,0.7768059303568917
baichuan2,0.8077067289739494,0.7426860882332028,0.8062495815073029,0.09262313659300965,0.09253522229261783,0.09077792649584812,0.09858048532702612,0.09858048532702612,0.10669970551256402,0.7431350344927066,0.8082304895601363,0.8397556030185891,1.0,0.08825764083032286,0.17518176616219883,0.70705293198823,0.1088525862359433,0.8065013847475067,0.07847841757283007,0.7569763437583048
deepseek,0.09854462424533936,0.10778130497918477,0.0994911064502167,0.6139544952653118,0.6173349029122966,0.6150820338251552,0.6098787453422952,0.6098787453422952,0.5622288146632188,0.13488728691841595,0.10132468076087807,0.1024348239045695,0.08825764083032286,1.0,0.14287154851761105,0.12486647471047557,0.5539962372382222,0.08258807843536214,0.6190887035932117,0.10876889450796878
internlm2,0.17876096784882384,0.1915116720637168,0.16896666848218855,0.15094280959526096,0.1430585271208922,0.13509921095444444,0.1542744455323471,0.1542744455323471,0.1880037063653836,0.14886967600092382,0.14950789764274508,0.1599840883752668,0.17518176616219883,0.14287154851761105,1.0,0.16221277118582159,0.1740118980996047,0.16641447063679696,0.14490172492040193,0.15369803168810767
falcon,0.7020877341396509,0.6663552330676451,0.7247426583576291,0.15767075933384692,0.15852007505095475,0.14746176589921134,0.1531844862805798,0.1531844862805798,0.1617197017057994,0.7853218865696644,0.7480746672906494,0.6952577649893384,0.70705293198823,0.12486647471047557,0.16221277118582159,1.0,0.19353506848877017,0.668307282213521,0.14885267147827927,0.6724012280268984
solar,0.1280481053828076,0.13639404403065938,0.13324697960507598,0.8120361468606303,0.8071107970655168,0.8040939430980099,0.8013538146927954,0.8013538146927954,0.4137005221831001,0.1876954923384036,0.13756434664936437,0.1309260275614386,0.1088525862359433,0.5539962372382222,0.1740118980996047,0.19353506848877017,1.0,0.11600839281532455,0.8180131490722948,0.13976794717530105
orca2,0.877956109586762,0.8002497185565512,0.8898824919854236,0.09779250551292441,0.10060693564296107,0.10235816285534094,0.10844769950196324,0.10844769950196324,0.10041286873606926,0.7354634542063886,0.737302016122122,0.8194046909323196,0.8065013847475067,0.08258807843536214,0.16641447063679696,0.668307282213521,0.11600839281532455,1.0,0.08681468442479254,0.7755038157259446
neuralchat,0.09294918671954903,0.12626707494531278,0.09819940882394573,0.9583756350894305,0.952935408344488,0.9733989516289826,0.9566982909643547,0.9566982909643547,0.4213482428617744,0.1507649107739616,0.10747114763528301,0.10939878245581139,0.07847841757283007,0.6190887035932117,0.14490172492040193,0.14885267147827927,0.8180131490722948,0.08681468442479254,1.0,0.12002447268059581
stablelm,0.7455641710441868,0.7812286142401185,0.7606108303607085,0.13052671344435454,0.1274897492745383,0.1285499516906126,0.13697357165632365,0.13697357165632365,0.11824975379886218,0.7781632252672748,0.7713964871116693,0.7768059303568917,0.7569763437583048,0.10876889450796878,0.15369803168810767,0.6724012280268984,0.13976794717530105,0.7755038157259446,0.12002447268059581,1.0
